Artist,Yellow Days,John Legend,Ella Fitzgerald,Boz Scaggs,Armin van Buuren,Shwayze,Stevie Wonder,Leon Bridges,Gov't Mule,The Who,Little Big Town,Carrie Underwood,Sugarland,The Flaming Lips,Niall Horan,Blake Shelton,Los Tucanes De Tijuana,Lady Antebellum,Susanne SundfÃ¸r,Keith Urban,Niall Horan,Tiziano Ferro,Norah Jones,Evanescence,Marcy Playground,Lady Antebellum,Godspeed You! Black Emperor,Tycho,Ella Fitzgerald,Chelsea Wolfe,Lila Om,The 1975,Fall Out Boy,Yellow Days,Radiohead,Christina Aguilera,Kacey Musgraves,Norah Jones,Tycho,Kelela,Linkin Park,The Prodigy,Radiohead,Tame Impala,Christina Aguilera,Petit Biscuit,2CELLOS,Kelela,The Contortionist,Godspeed You! Black Emperor,DJ Snake,Cardi B,Kehlani,Las Aves,Bomba EstÃ©reo,f(x),Slimane,La Sonora Dinamita,Ella Fitzgerald,Godspeed You! Black Emperor,Eminem,Martin Garrix,David Guetta,Marshmello,Halsey,Monsta X,DJ Snake,OMI,Kiana LedÃ©,Drake Bell,Niall Horan,WALK THE MOON,The 1975,The Prodigy,Linkin Park,Carrie Underwood,Fall Out Boy,Kelela,The Growlers,Memphis May Fire,Mac Miller,Marcy Playground,Anderson .Paak,Godspeed You! Black Emperor,Scott Bradlee's Postmodern Jukebox,Chelsea Wolfe,The Who,El Michels Affair,Sting,Barry White,J. Cole,Danny Gonzalez,Kehlani,Danny Gonzalez,Godspeed You! Black Emperor,LCD Soundsystem,Ella Fitzgerald,Ella Fitzgerald
Genero,Blues,Blues,Blues,Blues,Blues,Blues,Blues,Blues,Blues,Blues,country,country,country,country,country,country,country,country,country,country,Easy Listening,Easy Listening,Easy Listening,Easy Listening,Easy Listening,Easy Listening,Easy Listening,Easy Listening,Easy Listening,Easy Listening,Experimental,Experimental,Experimental,Experimental,Experimental,Experimental,Experimental,Experimental,Experimental,Experimental,Instrumental,Instrumental,Instrumental,Instrumental,Instrumental,Instrumental,Instrumental,Instrumental,Instrumental,Instrumental,International,International,International,International,International,International,International,International,International,International,Pop,Pop,Pop,Pop,Pop,Pop,Pop,Pop,Pop,Pop,Rock,Rock,Rock,Rock,Rock,Rock,Rock,Rock,Rock,Rock,Soul-RnB,Soul-RnB,Soul-RnB,Soul-RnB,Soul-RnB,Soul-RnB,Soul-RnB,Soul-RnB,Soul-RnB,Soul-RnB,Spoken,Spoken,Spoken,Spoken,Spoken,Spoken,Spoken,Spoken
2013-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,39,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.33333333,46,0,38,0,38,0,0,0,0,0,0,57,0,46.75,44,42,0,0,0,55.5,0,0,48,0,0,0,0,81,0,0,46,0,43,42,0,0,0,0,57,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,31,22,0,62,0,0,0,0,0,0,0
2017-01,0,0,9,0,0,0,0,37,25,24,20,0,0,0,71,65,41,38,35,24,67,0,0,0,0,0,38,0,12.66666667,34.25,68,0,0,0,0,0,0,0,0,41.4,74,0,0,50,0,0,0,39.25,39,38.6,0,0,56,0,46,0,0,0,0,38,0,0,0,84,70,0,0,0,0,35,69,64,0,0,58.625,0,7,0,0,54,0,0,0,38,0,34.25,31,0,0,0,0,48,46,0,38,37,0,34
2018-01,59,36,34,31,27,22,18,0,0,0,58,57.66666667,37.8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.5,0,0,61,59,59,0,52,0,0,0,0,0,61,0,0,48,0,48,0,0,0,0,62,0,0,0,0,0,0,41,0,86.5,86,84,0,0,69,0,68,67,66,0,0,61,59.09090909,0,58,56.8,56,0,0,75,0,38,0,35,0,0,0,0,20.55555556,0,0,0,43,0,0,36,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
