date,total,summer,winter,spring,autumn
2000,0.41550467490000004,,0.2908645125,0.46045719558333337,0.2704297132
2001,0.43267920252972986,0.373254457625,0.45009143389816675,0.4151137813,0.3721486571791666
2002,0.4250914139855772,0.34846083099828573,0.5581847920144737,0.4348970725,0.4161270760375
2003,0.41139701565963854,0.4356632689658045,0.4209458776577922,0.29832209483333333,0.314617944211048
2004,0.515615993003042,0.4417145353824405,0.41485923871181596,0.5425138882825,0.5707460231634259
2005,0.49836583591857675,0.4444081141332073,0.47928953890102965,0.4679109843914646,0.5438498199356949
2006,0.500028649572036,0.5438342696845029,0.48624572144315276,0.608488514221911,0.4456079509295239
2007,0.48961455456774716,0.6162793888656785,0.46483195054348797,0.5490705557650563,0.4719259528701243
2008,0.46603739073901684,0.47121541295707353,0.48200287147348075,0.5115657836169535,0.44632594272019716
2009,0.4753147815350632,0.5056031522391914,0.5078882549751165,0.4641141843160057,0.49761849522932255
2010,0.5108518814671464,0.5196286773447705,0.4989560083182438,0.5394289082003473,0.4822792890157544
2011,0.4771851549314261,0.4411442666602812,0.4880710594577858,0.5000101068698884,0.4193887760092878
2012,0.4703156306368419,0.48920441808364584,0.5198807758590448,0.4488442068892203,0.4221151408843548
2013,0.48727638807382545,0.44300679573407403,0.5659900927914562,0.5012514448714147,0.47550042612980864
2014,0.5306532903306125,0.5165455243417508,0.5624324377492691,0.44185823481236713,0.5881845559350741
2015,0.540911628392119,0.5511062272599574,0.5758319694637967,0.5396894530953625,0.5044950140649337
2016,0.5366293901692847,0.5650614831494263,0.5555412960526128,0.49467251185948546,0.5500538757837647
2017,0.53953351606078,0.526333787414413,0.5400566522052862,0.5427882117997317,0.5415075415556836
2018,0.5512477797186708,0.5760594250611684,0.5497730003268329,0.5610770960382049,0.5554481550243366
