date,total,summer,winter,spring,autumn
2000,0.52707930905,,0.2022765231,0.6295951203833333,0.236787227
2001,0.42290836456756775,0.3879049844275,0.3372560835163333,0.2957539368,0.4959476354250001
2002,0.3485186519596153,0.2933401348577143,0.3450498118811403,0.39446102715357145,0.3046805304708333
2003,0.33881405151807237,0.331198553822773,0.32539997743953825,0.2040373896222222,0.40339141756818186
2004,0.4781205480022811,0.4510984079877976,0.4680874720379218,0.5510190359162499,0.5636912193164353
2005,0.47887131242292486,0.28889484224071427,0.4574529520294887,0.4740345569531313,0.628324594638315
2006,0.44913339958702425,0.4598393025414369,0.43515170310036494,0.5496767647141155,0.37739709930944443
2007,0.4327283439575081,0.580397199246827,0.4208122740974775,0.49104586008580253,0.3590965720062111
2008,0.43868796978469454,0.4774951838129355,0.44553643748714666,0.45153005207361113,0.41970458773964187
2009,0.44156024120769194,0.4842482449374952,0.4570224326903907,0.43587717031323253,0.4520597907893384
2010,0.43441974484080087,0.43896344632401557,0.4491366414274298,0.425159164266618,0.4216450016879619
2011,0.42914201065313373,0.33971405435540986,0.45825051791360855,0.4432038797394635,0.4949506664211681
2012,0.4498165193413158,0.45528726289096794,0.5127275641887018,0.362082146922301,0.4351660576059815
2013,0.4576953943402687,0.5012126618661148,0.49572711575491374,0.4467865614740629,0.38072210994273786
2014,0.4056749825604083,0.4189776091462963,0.3836506978040852,0.3583925200933173,0.4240367313298785
2015,0.45743800309603366,0.45891348504086055,0.48299327503414174,0.48782740962431737,0.40354053534153483
2016,0.4036459176014683,0.39794216804853705,0.4207135342489627,0.3860239694447852,0.4165623567951721
2017,0.4095784932679356,0.38907824826679166,0.3958152319296486,0.4069562494561516,0.42866458031285665
2018,0.4145972057552637,0.42816236156282667,0.43675982857065065,0.4422106275137569,0.40407983800803776
